country,country_code,year,PPPPC,rule_law,control_corruption,government_effectiveness,regulatory_quality,tax_efficiency,justice,state_reform,public_policy,government_tax,starting_business,public_services,territorial_coverage,poverty,unemp_youth,literacy,gini,mortality_u5,maternal_mortality,sanitation,electricity
Nigeria,694,2012,5521.828671,-1.181707978,-1.146298766,-0.99916631,-0.722487867,2.75,1.399999976,2.5,1,10.20823904,3,0.600000024,1.333333373,0,13.69999981,,,120.9,819,29.9,55.6
Norway,142,2012,64629.52055,1.949052453,2.243672848,1.892404318,1.529464126,4,3.599999905,4,3.400000095,31.97481189,4,4,4,4,8.600000381,,25.9,3,5,98.1,100
Oman,449,2012,44480.6926,0.58445847,0.079627439,0.262699723,0.472671658,2.666666746,2.200000048,4,2.200000048,2.712401969,2.5,1.799999952,2.833333254,2.5,18.79999924,99.0943222,,11.6,18,96.7,97.69783
Pakistan,564,2012,4437.169079,-0.910084248,-1.061949134,-0.788932741,-0.727688432,1.5,2,2.5,1.600000024,10.35515925,4,1.600000024,0.5,1,8.100000381,72.58341217,29.59,87.8,197,58.3,93.6
Palau,565,2012,13338.49937,0.901275814,-0.284451634,-0.557884455,-1.01038599,,,,,,,,,,,99.81147003,,18.2,,100,59.32891
Panama,283,2012,17049.66403,-0.230398729,-0.385716856,0.313398629,0.38882944,3.25,1.799999952,3,2.200000048,11.11666114,4,2.200000048,3,2,10,97.63853455,51.67,18.7,101,73.4,90.87544
Papua New Guinea,853,2012,2192.818926,-0.864256084,-1.041505218,-0.769070625,-0.521568358,,,,,25.40767438,,,,1.5,5.400000095,71.5847168,,62.5,227,18.9,18.10671
Paraguay,288,2012,7119.25078,-0.873601019,-0.840610623,-0.899186373,-0.322115898,1.75,2.200000048,1.25,1.600000024,12.79406217,3,2,1,0.5,10.39999962,98.68621063,48.3,22.6,139,85.4,98.2
Peru,293,2012,10936.42121,-0.612374187,-0.395843267,-0.157619372,0.488305122,1.5,2,1.25,1.200000048,16.93529352,3,0.400000006,1,0,8.5,98.69816589,44.73,19.1,75,73.7,91.2
Philippines,566,2012,6167.032729,-0.545545161,-0.5872823,0.077570774,-0.059838858,2,2,2,1.799999952,14.06668789,2.5,2,1.5,0.5,16.39999962,,43.04,30.4,126,71.8,87.5
Poland,964,2012,23197.48979,0.744814992,0.584751904,0.664090991,0.954663932,3.75,3.200000048,3.75,2.599999905,19.84460207,3,3,3.166666746,2.5,26.39999962,99.99996948,32.39,5.3,3,95.7,100
Portugal,182,2012,26093.15372,1.038405657,0.92527014,1.03400135,0.811849415,3,3.200000048,2.5,2.599999905,22.8509911,4,2.799999952,3,3.5,37.59999847,99.43511963,36.04,3.8,11,99.5,100
Qatar,453,2012,148615.9354,1.032383919,1.188936234,0.945448995,0.798595011,2.333333254,1.600000024,3.5,2.200000048,7.654387827,3,3.200000048,3,3.5,1.600000024,98.71271515,,8.6,14,98,97.69783
Romania,968,2012,17849.63819,0.020244056,-0.257870406,-0.314097166,0.537672758,2.5,2,3.25,1.200000048,19.15523409,3.5,1.799999952,2.5,0.5,22.79999924,98.99568939,27.33,12.5,30,78.3,100
Russia,922,2012,23710.83889,-0.82091558,-1.017036915,-0.425623804,-0.358783394,2.25,2.400000095,2.75,1.200000048,26.50339567,3,3,3.166666746,1.5,15,99.70960236,41.59,10.8,26,72.2,100
Rwanda,714,2012,1556.272393,-0.263257265,0.647547483,-0.060334172,-0.100512594,4,2,2.5,2.400000095,13.61194783,3,2.200000048,1.5,,0.699999988,82.33074951,51.34,52.1,336,59.1,18
Samoa,862,2012,5071.17462,0.695951939,0.152458712,0.090211965,-0.339276999,,,,,,,,,,,99.23565674,,18.5,59,91.6,100
San Marino,135,2012,62703.76762,0.937952757,,,,,,,,,,,,,,,,3.2,,,100
São Tomé and Príncipe,716,2012,2965.431741,-0.807764828,-0.393704563,-0.716646373,-0.803439975,,,,,14.21038442,,,,,,,30.82,52.4,162,34.4,60.46256
Saudi Arabia,456,2012,50240.78898,0.242016315,-0.062359009,0.025863193,0.102182992,3.666666746,0.600000024,1.25,1.200000048,1.236441706,3.5,1.799999952,3.666666746,3,28,99.22177124,,16,13,100,97.69783
Senegal,722,2012,2223.421895,-0.319951862,-0.292149812,-0.470866412,-0.095490448,2.5,2.200000048,3.5,1.799999952,18.98898741,4,1.399999976,1.166666627,0,12.30000019,55.89594269,40.28,55.9,351,46.1,56.5
Serbia,942,2012,12796.66769,-0.385698408,-0.30927065,-0.113717876,-0.077483401,2.5,1.799999952,1.75,1.399999976,23.63122148,3,2.400000095,3,0.5,50.59999847,99.30869293,29.65,7.1,16,96.5,100
